"ngknow"	"ngfinance"	"knowraw"	"L.I.scale"	"typeofedu"	"country"	"phighedu"	"father_edu"	"mother_edu"	"gender"	"age"	"study_year"	"study_year_numeric"	"work_experience"	"PL_home_size"	"CZ_home_size"	"typeofedu.country"	"L.E.axis"	"matrix_economic"	"matrix_social"	"o1"	"o2"	"o3"	"o4"	"o5"	"o6"	"o7"	"o8"	"o9"	"o10"	"o11"	"o12"	"o13"	"o14"	"o15"	"o16"	"o17"	"o18"	"o19"	"o20"	"o21"	"o22"	"o23"	"k1"	"k2"	"k3"	"k4"	"k5"	"k6"	"k7"	"k8"	"k10"	"k11"	"k12"	"k13"	"k14"	"k15"	"k16"	"k17"	"k18"	"k19"	"k20"	"k21"	"k22"	"k23"	"k24"	"k25"	"k26"	"k27"	"k28"	"k29"	"k30"
"pl11"	12	4	21	-2	"EBMF"	"PL"	"HE:none"	"<=vocational"	"high_school"	"female"	22	"BA_2"	2	"1_year+"	"<10k"	NA	"EBMF.PL"	3	4	3	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
"pl12"	22	10	26	1	"EBMF"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"male"	22	"BA_3"	3	"No_experience"	"100k-500k"	NA	"EBMF.PL"	3	3	1	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
"pl13"	4	2	17	-4	"STEM"	"PL"	"HE:one"	"high_school"	"higher_edu"	"female"	22	"BA_3"	3	"Up_to_1_year"	"100k-500k"	NA	"STEM.PL"	3	3	2	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	1	1	1	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1
"pl14"	10	2	20	4	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"female"	22	"BA_3"	3	"Up_to_1_year"	"100k-500k"	NA	"STEM.PL"	2	4	4	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1
"pl15"	0	6	15	-3	"STEM"	"PL"	"HE:both"	"PHD+"	"PHD+"	"male"	22	"BA_3"	3	"1_year+"	"100k-500k"	NA	"STEM.PL"	2	3	4	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1
"pl16"	-8	-4	11	2	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"female"	22	"BA_3"	3	NA	"10k-100k"	NA	"STEM.PL"	5	3	2	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"DontKnow"	"Disagree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	0
"pl17"	4	2	17	-1	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"female"	22	"BA_3"	3	"Up_to_1_year"	">500k"	NA	"STEM.PL"	5	3	2	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	1	1	0	0	1	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1
"pl18"	-2	-2	14	1	"STEM"	"PL"	"HE:one"	"higher_edu"	"high_school"	"female"	22	"BA_3"	3	"1_year+"	">500k"	NA	"STEM.PL"	7	3	2	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	0	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	1	0	0
"pl19"	-4	-2	13	1	"STEM"	"PL"	"HE:one"	"higher_edu"	"high_school"	"female"	22	"BA_3"	3	"Up_to_1_year"	"10k-100k"	NA	"STEM.PL"	6	2	2	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	0	0	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	1	0	1	1	1	0	1	0	1	0
"pl20"	4	2	17	-1	"STEM"	"PL"	"HE:none"	"high_school"	"high_school"	"female"	22	"BA_3"	3	"1_year+"	"<10k"	NA	"STEM.PL"	5	3	3	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	1	1
"pl21"	2	0	16	-1	"STEM"	"PL"	"HE:one"	"higher_edu"	"high_school"	"female"	22	"BA_3"	3	"Up_to_1_year"	">500k"	NA	"STEM.PL"	2	3	2	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	0	1	1	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	1	1	0	0	1	1
"pl22"	-4	0	13	-2	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"male"	22	"BA_3"	3	"Up_to_1_year"	">500k"	NA	"STEM.PL"	3	3	4	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1
"pl23"	-4	-2	13	2	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"male"	22	"BA_3"	3	"1_year+"	">500k"	NA	"STEM.PL"	5	3	2	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0
"pl24"	NA	NA	NA	-2	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"female"	22	"BA_3"	3	"1_year+"	"10k-100k"	NA	"STEM.PL"	7	4	4	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	NA	NA	0	0	NA	0	0	0	NA	0	1	NA	NA	1	0	0	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
"pl25"	4	2	17	-1	"STEM"	"PL"	"HE:one"	"high_school"	"higher_edu"	"female"	22	"BA_3"	3	"Up_to_1_year"	"10k-100k"	NA	"STEM.PL"	7	4	3	"Disagree"	"Disagree"	"DontKnow"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1
"pl26"	0	2	15	0	"STEM"	"PL"	"HE:one"	"<=vocational"	"higher_edu"	"female"	24	"BA_3"	3	"Up_to_1_year"	">500k"	NA	"STEM.PL"	3	3	3	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1
"pl27"	6	0	18	1	"STEM"	"PL"	"HE:one"	"higher_edu"	"high_school"	"male"	21	"BA_2"	2	"No_experience"	">500k"	NA	"STEM.PL"	3	3	2	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"DontKnow"	0	0	0	1	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1
"pl28"	-2	4	14	3	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"male"	21	"BA_2"	2	"No_experience"	">500k"	NA	"STEM.PL"	3	2	2	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1
"pl29"	4	2	17	4	"STEM"	"PL"	"HE:none"	"<=vocational"	"<=vocational"	"female"	21	"BA_2"	2	"Up_to_1_year"	"100k-500k"	NA	"STEM.PL"	6	2	2	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1
"pl30"	-4	-4	13	1	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"male"	21	"BA_2"	2	"No_experience"	"<10k"	NA	"STEM.PL"	3	3	2	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0
"pl31"	6	0	18	-5	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"female"	20	"BA_1"	1	"No_experience"	"10k-100k"	NA	"STEM.PL"	5	3	4	"Disagree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1
"pl32"	8	6	19	1	"STEM"	"PL"	"HE:none"	"<=vocational"	"high_school"	"male"	23	"BA_1"	1	"No_experience"	"<10k"	NA	"STEM.PL"	4	3	3	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1
"pl33"	8	4	19	-2	"STEM"	"PL"	"HE:none"	"<=vocational"	"<=vocational"	"male"	21	"BA_2"	2	"Up_to_1_year"	"10k-100k"	NA	"STEM.PL"	0	3	4	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"DontKnow"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0
"pl34"	10	2	20	0	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"male"	21	"BA_2"	2	"Up_to_1_year"	"10k-100k"	NA	"STEM.PL"	6	3	3	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
"pl35"	8	2	19	-5	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"male"	24	"BA_2"	2	"1_year+"	">500k"	NA	"STEM.PL"	3	3	3	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"Disagree"	"DontKnow"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	0	0	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1
"pl36"	6	0	18	1	"STEM"	"PL"	"HE:none"	"<=vocational"	"high_school"	"female"	20	"BA_1"	1	"Up_to_1_year"	"<10k"	NA	"STEM.PL"	6	2	2	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	0	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0
"pl37"	-6	-2	12	1	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"female"	20	"BA_1"	1	"Up_to_1_year"	">500k"	NA	"STEM.PL"	5	3	3	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1
"pl38"	-2	-2	14	-2	"EBMF"	"PL"	NA	NA	NA	"female"	20	"BA_2"	2	"Up_to_1_year"	"<10k"	NA	"EBMF.PL"	NA	NA	NA	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0
"pl39"	14	8	22	1	"EBMF"	"PL"	"HE:one"	"higher_edu"	"high_school"	"female"	21	"BA_2"	2	"1_year+"	"10k-100k"	NA	"EBMF.PL"	4	2	1	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1
"pl40"	8	8	19	4	"EBMF"	"PL"	"HE:none"	"high_school"	"high_school"	"female"	22	"BA_3"	3	"Up_to_1_year"	"<10k"	NA	"EBMF.PL"	5	2	3	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1
"pl41"	14	8	22	0	"EBMF"	"PL"	"HE:both"	"higher_edu"	"PHD+"	"male"	21	"BA_2"	2	"1_year+"	"100k-500k"	NA	"EBMF.PL"	2	2	2	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1
"pl42"	10	-2	20	2	"EBMF"	"PL"	NA	NA	NA	"female"	19	"BA_2"	2	"No_experience"	"10k-100k"	NA	"EBMF.PL"	NA	NA	NA	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
