"id"	"o1"	"o2"	"o3"	"o4"	"o5"	"o6"	"o7"	"o8"	"o9"	"o10"	"o11"	"o12"	"o13"	"o14"	"o15"	"o16"	"o17"	"o18"	"o19"	"o20"	"o21"	"o22"	"o23"	"k1"	"k2"	"k3"	"k4"	"k5"	"k6"	"k7"	"k8"	"k10"	"k11"	"k12"	"k13"	"k14"	"k15"	"k16"	"k17"	"k18"	"k19"	"k20"	"k21"	"k22"	"k23"	"k24"	"k25"	"k26"	"k27"	"k28"	"k29"	"k30"	"leseferism-etatism"	"mat_econimic"	"mat_social"	"father_edu"	"mother_edu"	"year_at_uni"	"uni_programme"	"work_experience"	"hometown_size"	"birthdate"	"gender"	"age"
"11"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	0	1	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	0	NA	1	0	3	3	3	"vocational"	"high_school"	"BA_2"	"Economy"	"1_year+"	"<1k-5k"	1993	"female"	22
"12"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	1	1	1	0	0	0	1	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	8	2	1	"high_school"	"higher_edu"	"BA_1"	"Finance/Actuarial"	NA	"<1k"	1994	"female"	21
"13"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	1	0	NA	0	1	1	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	5	3	3	"high_school"	"high_school"	"BA_3"	"Economy"	"1_year+"	"20k-100k"	1993	"female"	22
"14"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	1	1	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	3	3	3	"vocational"	"high_school"	"BA_3"	"Economy"	"Up_to_1_year"	">100k"	1992	"male"	23
"15"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	1	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	1	1	0	5	2	1	"high_school"	"high_school"	"BA_1"	"Finance/Actuarial"	"Up_to_1_year"	"<1k-5k"	1995	"male"	20
"16"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	NA	NA	NA	NA	NA	NA	"Math/CS"	NA	NA	NA	NA	NA
"17"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	1	0	0	0	0	1	0	3	3	3	"high_school"	"higher_edu"	"BA_2"	"Economy"	"1_year+"	"<1k-5k"	1992	"male"	23
"18"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	1	0	1	0	1	1	0	0	0	1	1	1	NA	0	1	0	1	1	0	1	1	0	1	NA	1	NA	NA	1	NA	1	4	4	"high_school"	"high_school"	"BA_3"	"Economy"	"1_year+"	">100k"	1993	"male"	22
"19"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"DontKnow"	1	0	NA	0	0	1	0	0	0	1	NA	1	NA	NA	1	0	1	0	NA	1	1	0	1	1	1	0	NA	1	0	NA	NA	NA	NA	NA	NA	"Math/CS"	NA	NA	NA	NA	NA
"20"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	1	1	0	4	3	4	"PHD+"	"vocational"	"BA_3"	"Economy"	"1_year+"	"<1k-5k"	1991	"female"	24
"21"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Agree"	"Agree"	0	0	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	2	4	3	"vocational"	"high_school"	"BA_2"	"Economy"	"1_year+"	"20k-100k"	1991	"male"	24
"22"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	2	4	4	"higher_edu"	"higher_edu"	"BA_3"	"Economy"	"1_year+"	">100k"	1991	"male"	24
"23"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	1	0	1	0	1	1	0	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	3	4	3	"high_school"	"higher_edu"	"BA_3"	"Economy"	"1_year+"	"20k-100k"	1993	"male"	22
"24"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Agree"	1	1	1	0	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	2	4	3	"higher_edu"	"higher_edu"	"BA_3"	"Economy"	"Up_to_1_year"	"5k-20k"	1992	"male"	23
"25"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	3	4	3	"higher_edu"	"high_school"	"BA_3"	"Economy"	"1_year+"	">100k"	1993	NA	22
"26"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	1	1	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	4	3	2	"higher_edu"	"high_school"	"BA_1"	"Finance/Actuarial"	"Up_to_1_year"	">100k"	1995	"female"	20
"27"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	1	4	3	"higher_edu"	"higher_edu"	"BA_3"	"Economy"	"Up_to_1_year"	">100k"	1992	"male"	23
"28"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	1	NA	1	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	2	4	3	"primary"	"primary"	"BA_3"	"Economy"	"1_year+"	"20k-100k"	1993	"male"	22
"29"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	0	0	1	0	4	3	3	"vocational"	"high_school"	"BA_1"	"Finance/Actuarial"	"No_experience"	"20k-100k"	1995	"female"	20
"30"	"DontKnow"	"DontKnow"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	0	4	3	3	"high_school"	"higher_edu"	"BA_3"	"Economy"	"No_experience"	"20k-100k"	1992	"female"	23
"31"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	NA	0	1	0	3	3	3	"high_school"	"high_school"	"BA_3"	"Economy"	"1_year+"	"<1k"	1992	"male"	23
"32"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Agree"	1	0	NA	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	2	3	3	"vocational"	"high_school"	"BA_3"	"Economy"	"Up_to_1_year"	"20k-100k"	1993	"female"	22
"33"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	1	0	1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	1	0	2	3	3	"vocational"	"vocational"	"BA_3"	"Economy"	"Up_to_1_year"	"<1k"	1993	"male"	22
"34"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	1	1	0	4	3	3	"high_school"	"higher_edu"	"BA_3"	"Economy"	"1_year+"	">100k"	1991	"male"	24
"35"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	3	4	3	"higher_edu"	"higher_edu"	"BA_2"	"Economy"	"No_experience"	"5k-20k"	1993	"female"	22
"36"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	1	0	1	0	1	0	0	0	0	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	0	1	0	3	3	3	"higher_edu"	"PHD+"	"BA_3"	"Economy"	"1_year+"	">100k"	1993	"male"	22
"37"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Disagree"	1	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	6	2	2	"high_school"	"high_school"	"BA_2"	"Math/CS"	"Up_to_1_year"	"<1k"	1993	"female"	22
"38"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	0	1	0	2	4	4	"PHD+"	"higher_edu"	"BA_1"	"Finance/Actuarial"	"No_experience"	">100k"	1995	"female"	20
"39"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	1	0	1	1	0	0	1	1	0	0	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	6	2	2	"vocational"	"high_school"	"BA_1"	"Finance/Actuarial"	NA	"20k-100k"	1994	"female"	21
"40"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Agree"	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	3	3	"high_school"	"higher_edu"	"BA_1"	"Finance/Actuarial"	"No_experience"	">100k"	1995	"male"	20
"41"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	1	0	1	0	1	0	0	1	0	1	1	1	NA	0	1	0	1	1	0	1	1	0	1	1	1	0	0	1	0	3	4	4	"higher_edu"	"higher_edu"	"BA_2"	"Economy"	"1_year+"	"5k-20k"	1994	"male"	21
"42"	"Agree"	"DontKnow"	"DontKnow"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	1	1	NA	0	1	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	5	4	2	"primary"	"high_school"	"BA_2"	"Math/CS"	"1_year+"	"<1k-5k"	1994	"female"	21
"43"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	1	NA	4	2	"vocational"	"vocational"	"BA_3"	"Administration"	"1_year+"	"5k-20k"	1992	"female"	23
"44"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	1	0	NA	0	NA	0	0	0	0	1	1	1	NA	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	4	4	3	"vocational"	"high_school"	"BA_3"	"Economy"	"Up_to_1_year"	"20k-100k"	1992	"female"	23
"45"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	NA	NA	NA	0	NA	0	1	1	NA	1	NA	NA	NA	0	1	0	1	1	0	0	1	0	1	NA	1	NA	0	1	0	5	3	2	"high_school"	"high_school"	"BA_2"	"Economy"	"Up_to_1_year"	"5k-20k"	1994	"female"	21
"46"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	0	0	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	4	3	"high_school"	"vocational"	"BA_2"	"Economy"	"Up_to_1_year"	"<1k-5k"	1994	"male"	21
"47"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"DontKnow"	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	1	1	0	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1	1	1	1	0	1	1	7	1	2	"higher_edu"	"higher_edu"	"BA_2"	"Finance/Actuarial"	"Up_to_1_year"	">100k"	1994	"male"	21
"48"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	1	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	0	3	3	3	"higher_edu"	"high_school"	"MA_1"	"Economy"	"1_year+"	">100k"	1991	"female"	24
