"id"	"o1"	"o2"	"o3"	"o4"	"o5"	"o6"	"o7"	"o8"	"o9"	"o10"	"o11"	"o12"	"o13"	"o14"	"o15"	"o16"	"o17"	"o18"	"o19"	"o20"	"o21"	"o22"	"o23"	"k1"	"k2"	"k3"	"k4"	"k5"	"k6"	"k7"	"k8"	"k10"	"k11"	"k12"	"k13"	"k14"	"k15"	"k16"	"k17"	"k18"	"k19"	"k20"	"k21"	"k22"	"k23"	"k24"	"k25"	"k26"	"k27"	"k28"	"k29"	"k30"	"leseferism-etatism"	"mat_econimic"	"mat_social"	"father_edu"	"mother_edu"	"year_at_uni"	"uni_programme"	"work_experience"	"hometown_size"	"birthdate"	"gender"	"age"	"eduprog4"	"eduprog3"
"s11"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	1	3	4	3	"vocational"	"high_school"	"BA_2"	"Finance"	"1_year+"	"<10k"	1993	"female"	22	"EBMF"	"EBMF"
"s12"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	3	1	"higher_edu"	"higher_edu"	"BA_3"	"Finance"	"No_experience"	"100k-500k"	1993	"male"	22	"EBMF"	"EBMF"
"s13"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	1	1	1	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	0	1	1	1	0	0	1	1	3	3	2	"high_school"	"higher_edu"	"BA_3"	"Bioengineering"	"Up_to_1_year"	"100k-500k"	1993	"female"	22	"STEM"	"STEM"
"s14"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	2	4	4	"higher_edu"	"higher_edu"	"BA_3"	"Bioengineering"	"Up_to_1_year"	"100k-500k"	1993	"female"	22	"STEM"	"STEM"
"s15"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	1	1	0	0	0	0	1	NA	NA	1	1	NA	0	1	0	1	1	0	0	1	0	NA	1	1	NA	1	1	1	2	3	4	"PHD+"	"PHD+"	"BA_3"	"Bioengineering"	"1_year+"	"100k-500k"	1993	"male"	22	"STEM"	"STEM"
"s16"	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"DontKnow"	"Disagree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	5	NA	NA	"higher_edu"	"higher_edu"	"BA_3"	"Bioengineering"	NA	"<10k-100k"	1993	"female"	22	"STEM"	"STEM"
"s17"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	1	1	0	0	1	1	0	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	5	3	2	"higher_edu"	"higher_edu"	"BA_3"	"Bioengineering"	"Up_to_1_year"	">500k"	1993	"female"	22	"STEM"	"STEM"
"s18"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	0	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	0	7	3	2	"higher_edu"	"high_school"	"BA_3"	"Bioengineering"	"1_year+"	">500k"	1993	"female"	22	"STEM"	"STEM"
"s19"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	0	0	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	6	2	2	"higher_edu"	"high_school"	"BA_3"	"Bioengineering"	"Up_to_1_year"	"<10k-100k"	1993	"female"	22	"STEM"	"STEM"
"s20"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	1	1	5	3	3	"high_school"	"high_school"	"BA_3"	"Bioengineering"	"1_year+"	"<10k"	1993	"female"	22	"STEM"	"STEM"
"s21"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	0	1	1	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	0	1	1	2	3	2	"higher_edu"	"high_school"	"BA_3"	"Bioengineering"	"Up_to_1_year"	">500k"	1993	"female"	22	"STEM"	"STEM"
"s22"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	1	0	1	3	3	4	"higher_edu"	"higher_edu"	"BA_3"	"Bioengineering"	"Up_to_1_year"	">500k"	1993	"male"	22	"STEM"	"STEM"
"s23"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	5	NA	NA	"higher_edu"	"higher_edu"	"BA_3"	"Bioengineering"	"1_year+"	">500k"	1993	"male"	22	"STEM"	"STEM"
"s24"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	NA	"Agree"	"Agree"	NA	"Disagree"	0	NA	NA	0	0	NA	0	0	0	NA	0	1	NA	NA	1	0	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	4	4	"higher_edu"	"higher_edu"	"BA_3"	"Bioengineering"	"1_year+"	"<10k-100k"	1993	"female"	22	"STEM"	"STEM"
"s25"	"Disagree"	"Disagree"	"DontKnow"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	7	4	3	"high_school"	"higher_edu"	"BA_3"	"Bioengineering"	"Up_to_1_year"	"<10k-100k"	1993	"female"	22	"STEM"	"STEM"
"s26"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	1	1	1	1	1	1	1	3	3	3	"vocational"	"higher_edu"	"BA_3"	"Bioengineering"	"Up_to_1_year"	">500k"	1991	"female"	24	"STEM"	"STEM"
"s27"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"DontKnow"	0	0	0	1	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	3	3	2	"higher_edu"	"high_school"	"BA_2"	"Math/CS"	"No_experience"	">500k"	1994	"male"	21	"STEM"	"STEM"
"s28"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	1	1	1	3	2	2	"higher_edu"	"higher_edu"	"BA_2"	"Math/CS"	"No_experience"	">500k"	1994	"male"	21	"STEM"	"STEM"
"s29"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	6	2	2	"vocational"	"vocational"	"BA_2"	"Math/CS"	"Up_to_1_year"	"100k-500k"	1994	"female"	21	"STEM"	"STEM"
"s30"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	3	3	2	"higher_edu"	"higher_edu"	"BA_2"	"Math/CS"	"No_experience"	"<10k"	1994	"male"	21	"STEM"	"STEM"
"s31"	"Disagree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	5	NA	NA	"higher_edu"	"higher_edu"	"BA_1"	"Math/CS"	"No_experience"	"<10k-100k"	1995	"female"	20	"STEM"	"STEM"
"s32"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	1	0	1	0	1	0	1	0	1	4	3	3	"vocational"	"high_school"	"BA_1"	"Math/CS"	"No_experience"	"<10k"	1992	"male"	23	"STEM"	"STEM"
"s33"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"DontKnow"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	3	4	"vocational"	"vocational"	"BA_2"	"Math/CS"	"Up_to_1_year"	"<10k-100k"	1994	"male"	21	"STEM"	"STEM"
"s34"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	6	3	3	"higher_edu"	"higher_edu"	"BA_2"	"Math/CS"	"Up_to_1_year"	"<10k-100k"	1994	"male"	21	"STEM"	"STEM"
"s35"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"Disagree"	"DontKnow"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	0	0	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	3	3	3	"higher_edu"	"higher_edu"	"BA_2"	"Math/CS"	"1_year+"	">500k"	1991	"male"	24	"STEM"	"STEM"
"s36"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	0	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	1	0	1	1	0	1	0	6	2	2	"vocational"	"high_school"	"BA_1"	"Math/CS"	"Up_to_1_year"	"<10k"	1995	"female"	20	"STEM"	"STEM"
"s37"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	1	0	1	0	0	1	5	3	3	"higher_edu"	"higher_edu"	"BA_1"	"Math/CS"	"Up_to_1_year"	">500k"	1995	"female"	20	"STEM"	"STEM"
"s38"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	0	NA	NA	NA	NA	NA	"BA_2"	"Management"	"Up_to_1_year"	"<10k"	1995	"female"	20	"EBMF"	"EBMF"
"s39"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	1	1	1	1	1	0	NA	1	0	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	4	2	1	"higher_edu"	"high_school"	"BA_2"	"Econometrics"	"1_year+"	"<10k-100k"	1994	"female"	21	"EBMF"	"EBMF"
"s40"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	5	2	3	"high_school"	"high_school"	"BA_3"	"Finance"	"Up_to_1_year"	"<10k"	1993	"female"	22	"EBMF"	"EBMF"
"s41"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	2	2	2	"higher_edu"	"PHD+"	"BA_2"	"Management"	"1_year+"	"100k-500k"	1994	"male"	21	"EBMF"	"EBMF"
"s42"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	NA	NA	NA	NA	NA	"BA_2"	"Management"	"No_experience"	"<10k-100k"	1996	"female"	19	"EBMF"	"EBMF"
"s43"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"Disagree"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	NA	NA	NA	NA	NA	"BA_2"	"Econometrics"	"No_experience"	"100k-500k"	1994	"male"	21	"EBMF"	"EBMF"
"s44"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	0	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	4	NA	NA	"PHD+"	"higher_edu"	"BA_2"	"Finance"	"Up_to_1_year"	">500k"	1994	"female"	21	"EBMF"	"EBMF"
"s45"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"DontKnow"	"Disagree"	"DontKnow"	"DontKnow"	"DontKnow"	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	0	1	0	0	1	1	1	0	1	1	7	NA	NA	"high_school"	"higher_edu"	"BA_2"	"Finance"	NA	">500k"	1994	"female"	21	"EBMF"	"EBMF"
